,index,Unnamed: 0,Unnamed: 0.1,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,1947,1976,1976,50009950100,363.26599999999996,44.879150200000005,-71.70941859999999,The University of Vermont Medical Center,-73.19253,44.47876,125.72367174097249 km,151,2018,"Census Tract 9501, Essex County, Vermont",950100,50,9,50009950100,1764,943,821,53.6,472,1731.0,0.0,19.0,52.0,0.0,0.0,1660.0,31.0,30.0,1639.0,23453.0,1762.0,195.0,142.0,381.0,167.0,190.0,91.0,56.0,115.0,1764,1659,105,50,9,950100,4.855945781,171390.82599999983,121
1,1981,2010,2010,50009950500,248.476,44.533403,-71.77098790000001,Dartmouth Hitchcock Medical Center,-72.27274,43.677620000000005,103.22667348611736 km,173,2018,"Census Tract 9505, Essex County, Vermont",950500,50,9,50009950500,3321,1640,1681,47.9,800,3263.0,20.0,5.0,0.0,0.0,15.0,3223.0,28.0,49.0,3185.0,23248.0,3283.0,440.0,415.0,519.0,406.0,436.0,215.0,50.0,96.0,3321,3184,137,50,9,950500,13.36547594,131164.224,81
2,2074,2103,2103,50009950200,51.857,44.8024831,-71.87539559999999,The University of Vermont Medical Center,-73.19253,44.47876,110.51605293012085 km,150,2018,"Census Tract 9502, Essex County, Vermont",950200,50,9,50009950200,1123,552,571,50.5,254,1084.0,0.0,11.0,10.0,0.0,0.0,1063.0,30.0,4.0,1059.0,20594.0,1111.0,198.0,160.0,218.0,86.0,129.0,96.0,31.0,49.0,1123,1081,42,50,9,950200,21.65570704,140716.436,121
3,2093,2122,2122,50005957100,58.265,44.577513700000004,-71.9186093,The University of Vermont Medical Center,-73.19253,44.47876,101.8574054598017 km,81,2018,"Census Tract 9571, Caledonia County, Vermont",957100,50,5,50005957100,2132,1105,1027,45.3,383,2066.0,8.0,8.0,12.0,0.0,1.0,2037.0,52.0,22.0,2015.0,28521.0,2116.0,303.0,158.0,280.0,203.0,282.0,209.0,44.0,161.0,2132,2030,102,50,5,957100,36.59143568,135606.89899999992,100
4,2109,2138,2138,50005957200,17.026,44.529534600000005,-71.97475290000001,The University of Vermont Medical Center,-73.19253,44.47876,97.00572850916264 km,84,2018,"Census Tract 9572, Caledonia County, Vermont",957200,50,5,50005957200,2499,1236,1263,42.1,512,2460.0,0.0,0.0,0.0,0.0,0.0,2460.0,4.0,0.0,2460.0,25148.0,2399.0,308.0,216.0,462.0,266.0,379.0,154.0,45.0,151.0,2440,2382,58,50,5,957200,146.7755198,127178.89900000002,92
5,2112,2141,2141,50005957500,18.048,44.444655700000006,-71.9816114,Dartmouth Hitchcock Medical Center,-72.27274,43.677620000000005,88.3622838034904 km,82,2018,"Census Tract 9575, Caledonia County, Vermont",957500,50,5,50005957500,3743,1781,1962,46.5,806,3725.0,12.0,22.0,0.0,0.0,9.0,3682.0,0.0,21.0,3661.0,24946.0,3562.0,326.0,398.0,703.0,534.0,378.0,222.0,98.0,189.0,3670,3433,237,50,5,957500,207.3914007,100621.15399999998,59
6,2119,2148,2148,50019951100,105.64399999999999,44.9057393,-71.9914449,The University of Vermont Medical Center,-73.19253,44.47876,106.37414541368047 km,123,2018,"Census Tract 9511, Orleans County, Vermont",951100,50,19,50019951100,2164,1140,1024,49.7,548,2117.0,14.0,0.0,0.0,0.0,3.0,2100.0,37.0,58.0,2042.0,25027.0,2150.0,301.0,217.0,344.0,309.0,237.0,165.0,27.0,126.0,2164,2061,103,50,19,951100,20.48388929,134054.97899999996,117
7,2134,2163,2163,50005957900,80.553,44.3392874,-72.02086429999999,Dartmouth Hitchcock Medical Center,-72.27274,43.677620000000005,76.24367290367134 km,80,2018,"Census Tract 9579, Caledonia County, Vermont",957900,50,5,50005957900,2893,1465,1428,47.4,598,2823.0,0.0,7.0,53.0,0.0,0.0,2763.0,54.0,60.0,2734.0,29198.0,2858.0,342.0,206.0,452.0,272.0,345.0,296.0,94.0,280.0,2893,2764,129,50,5,957900,35.9142428,88419.94199999998,62
8,2142,2171,2171,50005957300,22.439,44.5510261,-72.0349205,The University of Vermont Medical Center,-73.19253,44.47876,92.38959995607236 km,85,2018,"Census Tract 9573, Caledonia County, Vermont",957300,50,5,50005957300,3346,1848,1498,31.2,423,3120.0,0.0,21.0,128.0,0.0,0.0,2971.0,143.0,32.0,2945.0,20405.0,2767.0,754.0,319.0,375.0,214.0,466.0,169.0,96.0,125.0,3346,3175,171,50,5,957300,149.1153795,122516.488,83
9,2144,2173,2173,50005957400,18.342,44.460558299999995,-72.0392927,Dartmouth Hitchcock Medical Center,-72.27274,43.677620000000005,88.98255757745962 km,79,2018,"Census Tract 9574, Caledonia County, Vermont",957400,50,5,50005957400,3556,1873,1683,45.4,617,3496.0,0.0,66.0,16.0,0.0,0.0,3414.0,53.0,124.0,3290.0,22862.0,3247.0,500.0,368.0,590.0,386.0,448.0,124.0,101.0,216.0,3318,3110,208,50,5,957400,193.8719878,100421.71099999998,60
10,2178,2207,2207,50019951200,29.345,44.9411035,-72.100421,The University of Vermont Medical Center,-73.19253,44.47876,100.64348095645784 km,132,2018,"Census Tract 9512, Orleans County, Vermont",951200,50,19,50019951200,2562,1236,1326,46.5,571,2503.0,0.0,20.0,2.0,0.0,47.0,2434.0,59.0,26.0,2434.0,27726.0,2536.0,339.0,191.0,361.0,398.0,230.0,197.0,54.0,183.0,2536,2429,107,50,19,951200,87.30618504,125963.80999999998,107
11,2179,2208,2208,50019951900,89.42399999999999,44.8157392,-72.1014813,The University of Vermont Medical Center,-73.19253,44.47876,94.30431221943213 km,126,2018,"Census Tract 9519, Orleans County, Vermont",951900,50,19,50019951900,2388,1199,1189,44.1,419,2316.0,26.0,0.0,5.0,0.0,0.0,2285.0,49.0,0.0,2285.0,26585.0,2358.0,304.0,194.0,347.0,252.0,332.0,181.0,31.0,139.0,2388,2284,104,50,19,951900,26.70424047,118094.76,103
12,2181,2210,2210,50005957000,197.96200000000002,44.604351799999996,-72.10443740000001,The University of Vermont Medical Center,-73.19253,44.47876,87.59229522637838 km,83,2018,"Census Tract 9570, Caledonia County, Vermont",957000,50,5,50005957000,4419,2156,2263,45.6,813,4293.0,22.0,14.0,49.0,0.0,16.0,4192.0,91.0,130.0,4112.0,27699.0,4339.0,512.0,380.0,617.0,582.0,556.0,351.0,109.0,269.0,4380,4148,232,50,5,957000,22.32246593,119283.97000000002,92
13,2192,2221,2221,50017959000,64.032,44.1193206,-72.117434,Dartmouth Hitchcock Medical Center,-72.27274,43.677620000000005,50.63880510980432 km,18,2018,"Census Tract 9590, Orange County, Vermont",959000,50,17,50017959000,2182,981,1201,44.8,515,2139.0,26.0,21.0,8.0,16.0,18.0,2050.0,18.0,20.0,2030.0,23500.0,2157.0,311.0,196.0,353.0,153.0,300.0,164.0,47.0,130.0,2182,2102,80,50,17,959000,34.07671164,59137.542000000016,60
14,2197,2226,2226,50005957600,60.732,44.437503899999996,-72.12482179999999,The University of Vermont Medical Center,-73.19253,44.47876,85.0980766498747 km,86,2018,"Census Tract 9576, Caledonia County, Vermont",957600,50,5,50005957600,2276,1061,1215,51.3,534,2256.0,7.0,18.0,31.0,0.0,0.0,2200.0,20.0,25.0,2175.0,29462.0,2276.0,342.0,189.0,270.0,285.0,229.0,236.0,109.0,235.0,2276,2215,61,50,5,957600,37.47612461,108170.645,82
