,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_2,DISTANCE_ROAD,DISTANCE_TIME
0,38,38,University Health System Children's Health,48,29.509040000000002,-98.574486,St. Luke's Baptist Hospital,29.51227,-98.57471,0.358685001,314.975,6
1,42,42,Children's Health,48,32.808856,-96.838099,UT Southwestern William P. Clements Jr. University Hospital,32.8193,-96.84846,1.510965986,2033.725,15
2,46,46,Medical City Children's Hospital,48,32.909378000000004,-96.77131999999999,Texas Health Presbyterian Dallas Hospital,32.8799,-96.76281999999999,3.3645317410000004,4617.911000000001,28
3,60,60,Children's Memorial Hermann Hospital,48,29.71507,-95.39662,Ben Taub Hospital,29.71074,-95.394447,0.524006664,554.318,3
4,73,73,Covenant Children's,48,33.5741,-101.90108000000001,Texas Health Harris Methodist Hospital Fort Worth,32.73645,-97.33913000000001,435.5611273,473447.4159999998,363
5,104,104,Driscoll Children's Hospital,48,27.748377,-97.38436,Valley Baptist Medical Center - Harlingen,26.175449,-97.669706,176.5725783,217298.16999999984,217
6,113,113,Texas Children's Hospital,48,29.708263,-95.40344,Houston Methodist Hospital,29.710040000000003,-95.40038,0.355637253,403.576,4
7,119,119,El Paso Children's Hospital,48,31.770266999999997,-106.43305,Tucson Medical Center,32.25224,-110.87983999999999,423.49335999999994,60610.967999999986,83
8,134,134,Baylor Scott White McLane Children's Medical Center,48,31.074790000000004,-97.37541,Ascension Seton Medical Center Austin,30.304809999999996,-97.74559,92.43803359999998,101089.46099999992,130
9,138,138,Cook Children's Medical Center,48,32.7384,-97.341965,Medical City Fort Worth,32.7345,-97.34416,0.47894892,540.87,6
10,161,161,Dell Children's Medical Center of Central Texas,48,30.301309999999997,-97.70575,Ascension Seton Medical Center Austin,30.304809999999996,-97.74559,3.851871369,5027.837999999999,46
11,166,166,Children's Hospital of San Antonio,48,29.428178999999997,-98.49776,University Hospital,29.50662,-98.57791999999999,11.66416531,12830.968000000004,47
