,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,State_x,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,37681,38037,MO,29133950300,203.101,36.735408500000005,-89.27563620000001,Kentucky,Jackson Purchase Medical Center,-88.651338,36.758787,55.81355658623653 km,167,2018,"Census Tract 9503, Mississippi County, Missouri",950300,29,133,29133950300,1887,979,908,38.8,313,1884.0,24.0,7.0,172.0,0.0,6.0,1675.0,1.0,20.0,1661.0,24934.0,1884.0,285.0,145.0,164.0,244.0,164.0,58.0,47.0,80.0,1887,1627,260,29,133,950300,9.290943915,92625.262,83
1,37695,38051,MO,29133950100,192.601,36.91655,-89.2929786,Missouri,Southeast Hospital,-89.538965,37.31576,49.4046761188166 km,166,2018,"Census Tract 9501, Mississippi County, Missouri",950100,29,133,29133950100,3707,2581,1126,42.8,616,3543.0,85.0,0.0,869.0,6.0,0.0,2583.0,104.0,37.0,2563.0,8625.0,2066.0,1754.0,311.0,329.0,211.0,228.0,150.0,13.0,127.0,2141,1904,237,29,133,950100,19.24704441,61536.85099999997,65
2,37731,38088,MO,29133950200,11.572000000000001,36.9202559,-89.343194,Missouri,Saint Francis Medical Center,-89.57189,37.30258,47.04786379973508 km,168,2018,"Census Tract 9502, Mississippi County, Missouri",950200,29,133,29133950200,4310,2223,2087,37.6,762,4207.0,13.0,0.0,2065.0,0.0,0.0,2129.0,29.0,58.0,2109.0,22979.0,4086.0,679.0,396.0,507.0,423.0,517.0,237.0,44.0,133.0,4196,3627,569,29,133,950200,372.4507432,54844.559,48
3,37764,38122,MO,29133950400,4.309,36.7798191,-89.392503,Missouri,Saint Francis Medical Center,-89.57189,37.30258,60.17011672200469 km,165,2018,"Census Tract 9504, Mississippi County, Missouri",950400,29,133,29133950400,3844,1792,2052,37.8,654,3702.0,9.0,0.0,169.0,0.0,0.0,3524.0,77.0,167.0,3357.0,15061.0,3743.0,789.0,520.0,541.0,311.0,233.0,85.0,59.0,87.0,3808,3235,573,29,133,950400,892.0863309,68323.60900000001,56
4,37833,38191,MO,29201780100,10.7,37.232572,-89.50613680000001,Missouri,Southeast Hospital,-89.538965,37.31576,9.680656031361648 km,1060,2018,"Census Tract 7801, Scott County, Missouri",780100,29,201,29201780100,3181,1499,1682,36.9,506,3082.0,0.0,0.0,32.0,0.0,0.0,3050.0,73.0,160.0,2890.0,21528.0,3028.0,555.0,275.0,357.0,427.0,285.0,142.0,27.0,51.0,3172,2499,673,29,201,780100,297.28971960000007,17244.222,57
5,37835,38193,MO,29201781000,87.00399999999999,37.08939470000001,-89.5102872,Missouri,Saint Francis Medical Center,-89.57189,37.30258,24.28350758403216 km,1066,2018,"Census Tract 7810, Scott County, Missouri",781000,29,201,29201781000,4183,2099,2084,41.5,770,4040.0,0.0,0.0,60.0,0.0,0.0,3980.0,67.0,68.0,3912.0,24639.0,3989.0,505.0,352.0,636.0,439.0,507.0,229.0,98.0,192.0,4045,3638,407,29,201,781000,48.07824928,28111.196999999996,32
6,37836,38194,MO,29031880900,1.186,37.320625,-89.51131240000001,Missouri,Southeast Hospital,-89.538965,37.31576,2.5098741410406085 km,322,2018,"Census Tract 8809, Cape Girardeau County, Missouri",880900,29,31,29031880900,2627,1370,1257,23.9,250,2485.0,41.0,256.0,593.0,0.0,0.0,1595.0,74.0,0.0,1595.0,13814.0,2508.0,574.0,248.0,277.0,186.0,94.0,76.0,42.0,54.0,2587,2226,361,29,31,880900,2215.008432,3457.4399999999996,24
7,37844,38202,MO,29201781100,29.355999999999998,37.176877600000005,-89.5171382,Missouri,Saint Francis Medical Center,-89.57189,37.30258,14.772432836837117 km,1067,2018,"Census Tract 7811, Scott County, Missouri",781100,29,201,29201781100,3262,1629,1633,36.3,552,3194.0,0.0,0.0,2.0,0.0,0.0,3192.0,30.0,40.0,3152.0,26698.0,3204.0,362.0,204.0,455.0,487.0,371.0,203.0,75.0,139.0,3262,2895,367,29,201,781100,111.11868100000001,18281.025999999998,30
8,37845,38203,MO,29143960200,211.842,36.64782720000001,-89.5177175,Missouri,Saint Francis Medical Center,-89.57189,37.30258,72.82253976273107 km,1247,2018,"Census Tract 9602, New Madrid County, Missouri",960200,29,143,29143960200,2121,964,1157,42.6,385,2095.0,68.0,0.0,401.0,0.0,0.0,1626.0,0.0,17.0,1609.0,16059.0,2095.0,455.0,288.0,270.0,155.0,173.0,100.0,11.0,95.0,2121,1585,536,29,143,960200,10.01217889,75074.54200000002,38
9,37850,38208,MO,29031881000,0.479,37.305662100000006,-89.5214905,Missouri,Southeast Hospital,-89.538965,37.31576,1.91196892536178 km,323,2018,"Census Tract 8810, Cape Girardeau County, Missouri",881000,29,31,29031881000,1999,958,1041,26.2,162,1976.0,0.0,103.0,81.0,0.0,0.0,1792.0,23.0,90.0,1710.0,14316.0,1968.0,488.0,328.0,278.0,136.0,158.0,68.0,16.0,67.0,1977,1544,433,29,31,881000,4173.2776619999995,2328.6940000000004,17
