,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,State_x,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,30365,30678,IN,18135951600,5.53,40.2018635,-84.8242525,Indiana,Reid Health,-84.88601,39.86298,37.995434907181696 km,406,2018,"Census Tract 9516, Randolph County, Indiana",951600,18,135,18135951600,3613,1677,1936,37.3,605,3436.0,0.0,0.0,0.0,0.0,80.0,3356.0,102.0,632.0,2865.0,21152.0,3538.0,481.0,437.0,520.0,469.0,254.0,179.0,47.0,81.0,3613,3001,612,18,135,951600,653.3453887999999,40115.98500000001,45
1,30374,30687,IN,18003011900,24.735,40.965231200000005,-84.8425272,Indiana,Parkview Hospital,-85.10982299999999,41.096828,26.811564055448734 km,327,2018,"Census Tract 119, Allen County, Indiana",11900,18,3,18003011900,1808,916,892,45.7,384,1734.0,0.0,3.0,0.0,0.0,0.0,1731.0,37.0,33.0,1713.0,27385.0,1703.0,192.0,148.0,279.0,272.0,286.0,131.0,16.0,101.0,1746,1614,132,18,3,11900,73.09480493,31194.244000000017,52
2,30375,30688,IN,18029080103,7.231,39.1847135,-84.8436895,Ohio,Mercy Health - Harrison Medical Center,-84.790615,39.262260999999995,9.753225674717667 km,543,2018,"Census Tract 801.03, Dearborn County, Indiana",80103,18,29,18029080103,5809,2848,2961,43.2,962,5703.0,48.0,0.0,0.0,0.0,32.0,5623.0,87.0,188.0,5435.0,40211.0,5790.0,723.0,330.0,375.0,456.0,482.0,610.0,269.0,837.0,5809,5646,163,18,29,80103,803.3467017,14033.163000000002,25
3,30380,30693,IN,18029080400,16.641,39.139129,-84.8479702,Ohio,Mercy Health - Harrison Medical Center,-84.790615,39.262260999999995,14.540146333171501 km,808,2018,"Census Tract 804, Dearborn County, Indiana",80400,18,29,18029080400,5935,2338,3597,39.3,1040,5901.0,0.0,39.0,69.0,0.0,82.0,5711.0,18.0,111.0,5682.0,30787.0,5919.0,520.0,576.0,771.0,706.0,508.0,636.0,310.0,408.0,5935,5477,458,18,29,80400,356.64923980000003,19350.115,26
4,30381,30694,IN,18177001100,8.96,39.8247211,-84.8483155,Indiana,Reid Health,-84.88601,39.86298,5.33417475721588 km,228,2018,"Census Tract 11, Wayne County, Indiana",1100,18,177,18177001100,6893,3332,3561,49.5,1954,6533.0,52.0,224.0,257.0,0.0,0.0,6000.0,335.0,0.0,6000.0,25459.0,6628.0,708.0,1048.0,747.0,772.0,483.0,373.0,89.0,869.0,6699,6163,536,18,177,1100,769.3080357000001,8363.405000000002,27
5,30401,30714,IN,18115965700,6.102,38.9521467,-84.8660732,Kentucky,St. Elizabeth Medical Center,-84.631209,39.016381,21.56318366836393 km,114,2018,"Census Tract 9657, Ohio County, Indiana",965700,18,115,18115965700,2323,1167,1156,50.3,613,2298.0,5.0,0.0,68.0,0.0,11.0,2214.0,5.0,43.0,2182.0,29058.0,2242.0,209.0,191.0,370.0,366.0,235.0,252.0,58.0,128.0,2270,2129,141,18,115,965700,380.69485410000004,50912.14800000001,76
6,30407,30720,IN,18029080202,34.811,39.2570954,-84.8724531,Ohio,Mercy Health - Harrison Medical Center,-84.790615,39.262260999999995,7.086596707125471 km,809,2018,"Census Tract 802.02, Dearborn County, Indiana",80202,18,29,18029080202,6697,3450,3247,43.1,1102,6591.0,0.0,174.0,14.0,0.0,20.0,6383.0,77.0,128.0,6351.0,31960.0,6629.0,877.0,388.0,724.0,680.0,898.0,643.0,84.0,671.0,6697,6531,166,18,29,80202,192.3817184,11516.172,33
7,30412,30725,IN,18177000400,6.002999999999999,39.854113899999994,-84.8774098,Indiana,Reid Health,-84.88601,39.86298,1.2290879809863726 km,1440,2018,"Census Tract 4, Wayne County, Indiana",400,18,177,18177000400,3596,1551,2045,50.3,970,3430.0,0.0,53.0,167.0,0.0,0.0,3210.0,77.0,136.0,3078.0,24452.0,3196.0,448.0,364.0,568.0,357.0,445.0,201.0,86.0,234.0,3285,3120,165,18,177,400,599.0338164,1827.409,3
8,30413,30726,IN,18177010200,51.839,39.9604441,-84.8776233,Indiana,Reid Health,-84.88601,39.86298,10.845458055291951 km,1444,2018,"Census Tract 102, Wayne County, Indiana",10200,18,177,18177010200,3178,1551,1627,40.8,547,3129.0,0.0,4.0,29.0,0.0,0.0,3096.0,24.0,0.0,3096.0,28947.0,3153.0,417.0,184.0,356.0,432.0,433.0,276.0,51.0,128.0,3178,2795,383,18,177,10200,61.30519493,11707.133000000003,17
9,30414,30727,IN,18135952000,89.471,40.0851494,-84.8777457,Indiana,Reid Health,-84.88601,39.86298,24.678487293702357 km,126,2018,"Census Tract 9520, Randolph County, Indiana",952000,18,135,18135952000,3043,1525,1518,48.0,700,2943.0,0.0,12.0,23.0,0.0,3.0,2905.0,90.0,14.0,2891.0,25013.0,3033.0,325.0,233.0,578.0,384.0,346.0,201.0,82.0,124.0,3038,2815,223,18,135,952000,34.01102033,28321.745,34
