,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_3,DISTANCE_ROAD,DISTANCE_TIME
0,38,38,University Health System Children's Health,48,29.509040000000002,-98.574486,University Hospital,29.50662,-98.57791999999999,0.427567979,1357.359,10
1,42,42,Children's Health,48,32.808856,-96.838099,Methodist Dallas Medical Center,32.76121,-96.82486999999999,5.427354587999999,7088.819,41
2,46,46,Medical City Children's Hospital,48,32.909378000000004,-96.77131999999999,Baylor Scott & White Medial Center - Plano,33.01419,-96.79108000000001,11.76993892,13547.623000000001,46
3,60,60,Children's Memorial Hermann Hospital,48,29.71507,-95.39662,Houston Methodist Hospital,29.710040000000003,-95.40038,0.6657693720000001,788.5799999999999,7
4,73,73,Covenant Children's,48,33.5741,-101.90108000000001,John Peter Smith Hospital,32.72712,-97.32696,436.91329069999995,475084.9309999998,367
5,104,104,Driscoll Children's Hospital,48,27.748377,-97.38436,Doctors Hospital at Renaissance,26.25384505,-98.20635990000001,184.60467309999999,236331.16199999995,248
6,113,113,Texas Children's Hospital,48,29.708263,-95.40344,Ben Taub Hospital,29.71074,-95.394447,0.9125054920000001,1195.8589999999997,11
7,119,119,El Paso Children's Hospital,48,31.770266999999997,-106.43305,Banner - University Medical Center Tucson Campus,32.24243,-110.94733000000001,429.7070475,60610.967999999986,83
8,134,134,Baylor Scott White McLane Children's Medical Center,48,31.074790000000004,-97.37541,St. David's Medical Center,30.29068,-97.72674,93.22010832,102302.859,116
9,138,138,Cook Children's Medical Center,48,32.7384,-97.341965,John Peter Smith Hospital,32.72712,-97.32696,1.882299656,2742.3559999999993,27
10,161,161,Dell Children's Medical Center of Central Texas,48,30.301309999999997,-97.70575,Dell Seton Medical Center at The University of Texas,30.276308,-97.733694,3.8612705380000003,4670.316,22
11,166,166,Children's Hospital of San Antonio,48,29.428178999999997,-98.49776,St. Luke's Baptist Hospital,29.51227,-98.57471,11.94099616,12909.605,41
