,index,Unnamed: 0,Unnamed: 0.1,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,49920,50402,50402,31147964500,261.737,40.152223600000006,-95.585887,Mosaic Medical Center - Maryville,-94.8767,40.32588,63.3540454628715 km,459,2018,"Census Tract 9645, Richardson County, Nebraska",964500,31,147,31147964500,1714,914,800,51.9,351,1660.0,21.0,5.0,2.0,0.0,11.0,1621.0,47.0,28.0,1604.0,34318.0,1707.0,216.0,172.0,190.0,123.0,229.0,170.0,55.0,235.0,1714,1621,93,31,147,964500,6.5485582860000005,97242.06100000003,76
1,49986,50468,50468,31147968600,45.18899999999999,40.054395299999996,-95.61617840000001,Mosaic Medical Center - Maryville,-94.8767,40.32588,69.81465639142887 km,461,2018,"Census Tract 9686, Richardson County, Nebraska",968600,31,147,31147968600,4305,2091,2214,41.6,966,4092.0,130.0,12.0,15.0,0.0,0.0,3935.0,180.0,90.0,3845.0,28269.0,4157.0,594.0,289.0,674.0,463.0,654.0,246.0,129.0,241.0,4190,3841,349,31,147,968600,95.26654717,90561.037,83
2,50296,50778,50778,31127968100,381.483,40.40822429999999,-95.8102402,Mosaic Medical Center - Maryville,-94.8767,40.32588,79.81520886727071 km,440,2018,"Census Tract 9681, Nemaha County, Nebraska",968100,31,127,31127968100,3561,1703,1858,39.0,681,3483.0,23.0,0.0,83.0,1.0,19.0,3357.0,39.0,150.0,3247.0,23535.0,3102.0,734.0,249.0,499.0,290.0,420.0,235.0,80.0,246.0,3557,3384,173,31,127,968100,9.334623037,89187.721,72
3,50314,50796,50796,31127968200,25.894000000000002,40.3739079,-95.8297804,Mosaic Medical Center - Maryville,-94.8767,40.32588,81.14532990746369 km,441,2018,"Census Tract 9682, Nemaha County, Nebraska",968200,31,127,31127968200,3443,1762,1681,39.5,676,3397.0,13.0,52.0,22.0,0.0,1.0,3309.0,15.0,35.0,3275.0,30563.0,3309.0,494.0,280.0,369.0,363.0,355.0,151.0,114.0,409.0,3340,3065,275,31,127,968200,132.9651657,93205.79800000002,75
4,50353,50835,50835,31131966900,23.471999999999998,40.6592359,-95.8535212,Bellevue Medical Center,-95.94913626,41.13616366,53.57306231933028 km,447,2018,"Census Tract 9669, Otoe County, Nebraska",966900,31,131,31131966900,4647,2190,2457,39.6,913,4411.0,72.0,42.0,53.0,0.0,169.0,4075.0,135.0,412.0,3859.0,28364.0,4377.0,489.0,199.0,661.0,641.0,625.0,285.0,103.0,284.0,4546,4374,172,31,131,966900,197.98057260000002,58276.01599999997,58
5,50360,50842,50842,31131967000,0.9,40.6778181,-95.8582428,Bellevue Medical Center,-95.94913626,41.13616366,51.47309773294512 km,448,2018,"Census Tract 9670, Otoe County, Nebraska",967000,31,131,31131967000,3018,1508,1510,38.6,574,2867.0,4.0,0.0,4.0,0.0,53.0,2806.0,121.0,645.0,2279.0,27113.0,2922.0,292.0,234.0,552.0,488.0,419.0,189.0,31.0,93.0,2952,2515,437,31,131,967000,3353.333333,56330.71599999998,61
6,50378,50860,50860,31147968500,244.91400000000002,40.1093315,-95.86948120000001,Mosaic Medical Center - Maryville,-94.8767,40.32588,87.86139656173086 km,460,2018,"Census Tract 9685, Richardson County, Nebraska",968500,31,147,31147968500,1990,969,1021,52.9,586,1963.0,20.0,0.0,0.0,0.0,5.0,1938.0,23.0,39.0,1904.0,29167.0,1928.0,174.0,211.0,286.0,223.0,328.0,113.0,54.0,137.0,1956,1867,89,31,147,968500,8.125301126,117081.03100000005,91
7,50384,50866,50866,31153010103,6.906000000000001,41.17028010000001,-95.87384240000002,Bellevue Medical Center,-95.94913626,41.13616366,7.368856112786944 km,214,2018,"Census Tract 101.03, Sarpy County, Nebraska",10103,31,153,31153010103,4522,2303,2219,40.8,799,4357.0,0.0,127.0,291.0,0.0,11.0,3928.0,104.0,334.0,3697.0,36150.0,4461.0,471.0,180.0,499.0,565.0,572.0,341.0,164.0,741.0,4482,4200,282,31,153,10103,654.7929337,11638.556999999999,39
8,50387,50869,50869,31025966100,17.822,40.9678697,-95.874094,Bellevue Medical Center,-95.94913626,41.13616366,19.72590275435357 km,506,2018,"Census Tract 9661, Cass County, Nebraska",966100,31,25,31025966100,4665,2307,2358,34.4,569,4486.0,0.0,0.0,16.0,42.0,18.0,4410.0,124.0,290.0,4144.0,29537.0,4479.0,688.0,357.0,423.0,372.0,672.0,229.0,168.0,348.0,4651,4261,390,31,25,966100,261.7551341,22554.497,37
9,50401,50883,50883,31153010402,2.165,41.12437979999999,-95.8798511,Bellevue Medical Center,-95.94913626,41.13616366,5.963198574508463 km,218,2018,"Census Tract 104.02, Sarpy County, Nebraska",10402,31,153,31153010402,4067,2065,2002,29.6,496,3781.0,6.0,69.0,184.0,0.0,90.0,3432.0,267.0,754.0,2856.0,29133.0,3944.0,469.0,351.0,473.0,466.0,557.0,370.0,106.0,94.0,4040,3495,545,31,153,10402,1878.5219399999999,9050.101,28
