,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_1,DISTANCE_ROAD,DISTANCE_TIME
0,4,4,Kaiser Permanente - Oakland Medical Centr,6,37.823994,-122.25783999999999,UCSF Medical Center,37.763191,-122.45798,18.87561758,21944.501000000004,69
1,7,7,Kaiser Permanente Pediatric Care Center,6,34.072468,-117.43566000000001,Riverside Community Hospital,33.9765,-117.38146,11.76329554,14806.561000000007,49
2,13,13,Valley Children's Healthcare,6,36.884440000000005,-119.800579,Bakersfield Memorial Hospital,35.391940000000005,-119.00678,180.3623795,193131.3139999999,162
3,24,24,UCSF Benioff Children's Hospital Oakland,6,37.837309999999995,-122.2682,UCSF Medical Center,37.763191,-122.45798,18.62885345,21262.608000000004,65
4,30,30,Kaiser Foundation Hospital - Santa Clara,6,37.33778,-121.99581,El Camino Hospital,37.36880981,-122.08178529999999,8.359571345,10266.566000000003,50
5,66,66,Kaiser Permanente Pediatric Care Center Downey,6,33.91706,-118.12907,PIH Health Hospital - Whittier,33.96979,-118.04935,9.408681772000001,12802.654999999997,51
6,70,70,UCLA Mattel Childrens Hospital,6,34.06592,-118.44521,Ronald Reagan UCLA Medical Center,34.065113000000004,-118.446424,0.14343096800000002,391.22,3
7,77,77,Children's Hospital of Los Angeles,6,34.098152,-118.29068999999998,Kaiser Foundation Hospital - Los Angeles,34.098512,-118.292503,0.17200010300000002,101.383,1
8,82,82,Cottage Children's Medical Center,6,34.42935,-119.72318,Santa Barbara Cottage Hospital,34.42953,-119.72333,0.024265118999999998,0,0
9,87,87,Lucile Packard Children's Hospital Stanford,6,37.43723,-122.17435,Stanford Health Care,37.433409000000005,-122.175721,0.441093544,1479.664,9
10,88,88,Rady Children's Hospital San Diego,6,32.798603,-117.1508,University of California San Diego Medical Center,32.75388,-117.16555,5.1487179780000005,8740.696000000002,30
11,99,99,CHOC Children's Hospital of Orange County,6,33.78033,-117.86506999999999,University of California Irvine,33.787233,-117.888249,2.2792519419999997,3513.4100000000003,18
12,100,100,Community Regional Medical Center,6,36.741882000000004,-119.78388999999999,Bakersfield Memorial Hospital,35.391940000000005,-119.00678,165.340573,174390.9229999999,142
13,107,107,California Pacific Medical Center,6,37.78575,-122.42148999999999,UCSF Medical Center,37.763191,-122.45798,4.074837468,5324.0,44
14,110,110,Kaiser Permanente Pediatric Care Center,6,34.09815,-118.29542,Kaiser Foundation Hospital - Los Angeles,34.098512,-118.292503,0.272154076,201.17399999999998,2
15,127,127,UCSF Benioff Children's Hospital San Francisco,6,37.76509,-122.390579,UCSF Medical Center,37.763191,-122.45798,5.942644668,6596.629000000001,42
16,153,153,Loma Linda University Children's Hospital,6,34.049915000000006,-117.26114,Loma Linda University Medical Center,34.049479999999996,-117.26366000000002,0.23762450899999998,519.651,4
17,157,157,University of California Davis Children's Hospital,6,38.553677,-121.45683999999999,Kaiser Foundation Hospital - Sacramento,38.602028999999995,-121.39256999999999,7.757184296,10242.475999999999,49
18,180,180,Miller Children's & Women's Hospital Long Beach,6,33.80769,-118.18502,Long Beach Memorial Medical Center,33.807959999999994,-118.18847,0.320844226,432.565,6
19,188,188,Sutter Children's Center,6,38.57042,-121.47027,Kaiser Foundation Hospital - Sacramento,38.602028999999995,-121.39256999999999,7.625186221,9232.044,36
20,189,189,Kaiser Foundation Hospital - Roseville Women's and Children's Service,6,38.74825,-121.24763,Mercy San Juan Medical Center,38.6707,-121.31383999999998,10.3574558,12320.008,54
