,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,ORIG_LAT,ORIG_LONG,Hospital,DEST_LAT,DEST_LONG,AERIAL_3,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,9057,9151,MD,24047950300,1.847,38.4381184,-75.06641409999999,Peninsula Regional Medical Center,38.36187,-75.59889,47.27722429,999,2018,"Census Tract 9503, Worcester County, Maryland",950300,24,47,24047950300,3047,1451,1596,61.2,1293,2986.0,0.0,0.0,0.0,0.0,0.0,2986.0,49.0,200.0,2786.0,27180.0,3035.0,449.0,277.0,551.0,446.0,366.0,307.0,100.0,290.0,3047,2910,137,24,47,950300,1649.70222,54836.845999999976,115
1,9068,9162,MD,24047950100,1.646,38.4107064,-75.0713877,Peninsula Regional Medical Center,38.36187,-75.59889,46.40539786,998,2018,"Census Tract 9501, Worcester County, Maryland",950100,24,47,24047950100,2301,1202,1099,55.0,719,2206.0,0.0,6.0,47.0,0.0,0.0,2153.0,95.0,96.0,2058.0,34544.0,2238.0,247.0,84.0,320.0,370.0,240.0,197.0,75.0,463.0,2288,2164,124,24,47,950100,1397.934386,51883.32299999998,94
2,9120,9214,MD,24047950000,1.105,38.344748200000005,-75.08500670000001,Beebe Medical Center,38.772594,-75.14431,47.77436239,997,2018,"Census Tract 9500, Worcester County, Maryland",950000,24,47,24047950000,1739,1018,721,49.6,417,1646.0,0.0,15.0,60.0,0.0,2.0,1569.0,64.0,106.0,1465.0,30778.0,1689.0,289.0,66.0,242.0,274.0,300.0,113.0,86.0,191.0,1718,1539,179,24,47,950000,1573.755656,52256.19200000002,148
3,9213,9308,MD,24047950400,3.451,38.354521500000004,-75.118088,Beebe Medical Center,38.772594,-75.14431,46.46528186,1000,2018,"Census Tract 9504, Worcester County, Maryland",950400,24,47,24047950400,2896,1514,1382,43.1,592,2830.0,13.0,0.0,97.0,0.0,17.0,2703.0,38.0,112.0,2608.0,31509.0,2863.0,422.0,131.0,360.0,272.0,293.0,231.0,118.0,406.0,2891,2755,136,24,47,950400,839.1770501,58077.799000000035,135
4,9324,9421,MD,24047951100,3.8989999999999996,38.37846,-75.14886870000001,Beebe Medical Center,38.772594,-75.14431,43.75359239,1006,2018,"Census Tract 9511, Worcester County, Maryland",951100,24,47,24047951100,7000,3286,3714,60.5,2865,6878.0,0.0,82.0,462.0,0.0,18.0,6316.0,71.0,130.0,6204.0,32641.0,6939.0,904.0,549.0,969.0,663.0,901.0,699.0,339.0,895.0,6990,6558,432,24,47,951100,1795.332136,56031.205000000016,118
5,9330,9427,MD,24047950600,1.4469999999999998,38.39083660000001,-75.1495179,Beebe Medical Center,38.772594,-75.14431,42.38036924,1001,2018,"Census Tract 9506, Worcester County, Maryland",950600,24,47,24047950600,3042,1477,1565,55.6,1143,2968.0,0.0,82.0,178.0,54.0,39.0,2615.0,64.0,114.0,2607.0,38431.0,3032.0,351.0,137.0,328.0,350.0,463.0,335.0,162.0,444.0,3029,2919,110,24,47,950600,2102.280581,55862.55000000002,119
6,9348,9445,MD,24047951700,15.181,38.275427,-75.15186920000001,Beebe Medical Center,38.772594,-75.14431,55.19266392,1397,2018,"Census Tract 9517, Worcester County, Maryland",951700,24,47,24047951700,3621,1743,1878,51.4,961,3504.0,57.0,119.0,190.0,0.0,0.0,3138.0,107.0,50.0,3088.0,30083.0,3611.0,292.0,345.0,554.0,532.0,342.0,255.0,80.0,526.0,3612,3151,461,24,47,951700,238.52183650000003,63325.22500000004,123
7,9473,9572,MD,24047950700,3.0869999999999997,38.4005656,-75.1782966,Beebe Medical Center,38.772594,-75.14431,41.40400820000001,1002,2018,"Census Tract 9507, Worcester County, Maryland",950700,24,47,24047950700,2417,1225,1192,53.6,801,2339.0,9.0,125.0,10.0,0.0,28.0,2167.0,56.0,87.0,2080.0,37191.0,2395.0,200.0,189.0,348.0,152.0,318.0,236.0,156.0,356.0,2417,2334,83,24,47,950700,782.9608034,54648.82100000001,109
8,9581,9682,MD,24047951000,5.307,38.315943299999994,-75.213277,Nanticoke Memorial Hospital,38.64179,-75.60478,49.75287544,1005,2018,"Census Tract 9510, Worcester County, Maryland",951000,24,47,24047951000,4739,2388,2351,42.6,854,4585.0,0.0,108.0,1332.0,0.0,5.0,3140.0,94.0,130.0,3039.0,28896.0,4510.0,559.0,370.0,637.0,517.0,617.0,342.0,157.0,311.0,4570,4358,212,24,47,951000,892.9715470000001,57402.16799999999,78
9,9669,9773,MD,24047950800,82.654,38.3902408,-75.23952129999999,Nanticoke Memorial Hospital,38.64179,-75.60478,42.36140735,1003,2018,"Census Tract 9508, Worcester County, Maryland",950800,24,47,24047950800,4905,2551,2354,48.4,882,4905.0,0.0,0.0,246.0,0.0,0.0,4659.0,0.0,79.0,4580.0,32628.0,4905.0,694.0,298.0,547.0,425.0,519.0,520.0,105.0,634.0,4905,4596,309,24,47,950800,59.34377042,51036.366,59
10,9727,9834,MD,24047950900,26.688000000000002,38.2854896,-75.25697159999999,Nanticoke Memorial Hospital,38.64179,-75.60478,49.85727587,1004,2018,"Census Tract 9509, Worcester County, Maryland",950900,24,47,24047950900,1893,1008,885,48.5,343,1874.0,0.0,0.0,146.0,0.0,4.0,1724.0,7.0,112.0,1637.0,30385.0,1861.0,249.0,152.0,265.0,200.0,179.0,186.0,109.0,176.0,1886,1785,101,24,47,950900,70.9307554,56706.67899999999,67
11,9945,10055,MD,24047951200,134.304,38.1975549,-75.3431082,Nanticoke Memorial Hospital,38.64179,-75.60478,54.3495296,1393,2018,"Census Tract 9512, Worcester County, Maryland",951200,24,47,24047951200,3389,1564,1825,44.3,746,3355.0,0.0,34.0,639.0,0.0,0.0,2682.0,23.0,141.0,2541.0,32519.0,3378.0,512.0,305.0,388.0,193.0,374.0,426.0,116.0,349.0,3389,3307,82,24,47,951200,25.23379795,66488.685,93
12,10050,10160,MD,24047951300,5.936,38.1618108,-75.3968682,Nanticoke Memorial Hospital,38.64179,-75.60478,56.28987132,1394,2018,"Census Tract 9513, Worcester County, Maryland",951300,24,47,24047951300,2695,1354,1341,39.6,521,2459.0,0.0,0.0,967.0,0.0,29.0,1463.0,177.0,98.0,1398.0,23695.0,2272.0,447.0,215.0,364.0,380.0,254.0,116.0,33.0,124.0,2331,2236,95,24,47,951300,454.009434,63160.804000000004,96
13,10063,10173,MD,24045010604,36.942,38.4126148,-75.4036426,Nanticoke Memorial Hospital,38.64179,-75.60478,30.90002124,857,2018,"Census Tract 106.04, Wicomico County, Maryland",10604,24,45,24045010604,5038,2481,2557,36.1,632,4903.0,9.0,42.0,282.0,0.0,19.0,4551.0,66.0,105.0,4476.0,29601.0,4952.0,483.0,310.0,585.0,796.0,550.0,354.0,165.0,150.0,5021,4680,341,24,45,10604,136.3759407,35878.71500000001,51
14,10087,10198,MD,24045010606,63.89,38.3371643,-75.41802159999999,Nanticoke Memorial Hospital,38.64179,-75.60478,37.53604886,996,2018,"Census Tract 106.06, Wicomico County, Maryland",10606,24,45,24045010606,4290,2001,2289,44.0,806,4158.0,0.0,6.0,193.0,0.0,4.0,3955.0,128.0,23.0,3955.0,31709.0,4268.0,423.0,273.0,489.0,620.0,626.0,394.0,140.0,275.0,4290,4101,189,24,45,10606,67.14665832,43859.075999999994,72
15,10216,10329,MD,24047951400,141.534,38.1323093,-75.4918445,Riverside Shore Memorial Hospital,37.699796,-75.721423,52.07855042,1395,2018,"Census Tract 9514, Worcester County, Maryland",951400,24,47,24047951400,3385,1561,1824,48.4,814,3327.0,9.0,43.0,360.0,0.0,0.0,2915.0,45.0,157.0,2767.0,30863.0,3344.0,346.0,189.0,556.0,293.0,379.0,232.0,95.0,421.0,3357,3103,254,24,47,951400,23.91651476,66419.24100000002,102
16,10271,10385,MD,24045010603,25.664,38.4306622,-75.518861,Atlantic General Hospital,38.339059999999996,-75.21172,28.69716556,865,2018,"Census Tract 106.03, Wicomico County, Maryland",10603,24,45,24045010603,7031,3452,3579,42.2,1236,6931.0,0.0,137.0,1099.0,0.0,208.0,5487.0,51.0,529.0,5166.0,27224.0,6982.0,668.0,603.0,1240.0,660.0,880.0,611.0,162.0,794.0,7031,6697,334,24,45,10603,273.9635287,36756.61,45
17,10315,10430,MD,24045010605,23.638,38.2995593,-75.54011070000001,Nanticoke Memorial Hospital,38.64179,-75.60478,38.40635889,995,2018,"Census Tract 106.05, Wicomico County, Maryland",10605,24,45,24045010605,4255,2064,2191,49.7,869,4137.0,0.0,142.0,185.0,0.0,12.0,3798.0,103.0,18.0,3792.0,37880.0,4240.0,421.0,337.0,380.0,361.0,587.0,237.0,218.0,749.0,4247,4034,213,24,45,10605,180.0067688,43128.07299999999,74
18,10350,10465,MD,24045010102,2.6239999999999997,38.3574766,-75.5573802,Nanticoke Memorial Hospital,38.64179,-75.60478,31.83018469,860,2018,"Census Tract 101.02, Wicomico County, Maryland",10102,24,45,24045010102,3613,1655,1958,37.5,717,3594.0,0.0,115.0,921.0,0.0,7.0,2551.0,8.0,12.0,2539.0,30933.0,3602.0,461.0,245.0,389.0,466.0,534.0,305.0,105.0,222.0,3603,3467,136,24,45,10102,1376.905488,34554.401999999995,75
19,10375,10490,MD,24045010101,5.478,38.3871716,-75.5692333,Atlantic General Hospital,38.339059999999996,-75.21172,31.698904700000003,863,2018,"Census Tract 101.01, Wicomico County, Maryland",10101,24,45,24045010101,6140,2668,3472,37.9,910,5992.0,0.0,296.0,1832.0,0.0,28.0,3836.0,83.0,192.0,3701.0,27557.0,5995.0,741.0,546.0,842.0,551.0,770.0,473.0,230.0,310.0,6018,5824,194,24,45,10101,1120.847024,36479.33,50
20,10392,10507,MD,24045010502,3.3080000000000003,38.3419765,-75.57930959999999,Nanticoke Memorial Hospital,38.64179,-75.60478,33.35513854,994,2018,"Census Tract 105.02, Wicomico County, Maryland",10502,24,45,24045010502,9664,4541,5123,23.0,1040,9326.0,113.0,457.0,2672.0,0.0,9.0,6075.0,276.0,215.0,5894.0,18402.0,8730.0,2932.0,449.0,1186.0,929.0,809.0,584.0,145.0,430.0,9640,9117,523,24,45,10502,2921.40266,36146.888,73
21,10400,10515,MD,24045000100,1.217,38.3718951,-75.5828034,Atlantic General Hospital,38.339059999999996,-75.21172,32.63933054,861,2018,"Census Tract 1, Wicomico County, Maryland",100,24,45,24045000100,6298,2980,3318,31.6,835,5953.0,0.0,207.0,3199.0,0.0,358.0,2189.0,234.0,796.0,1754.0,22447.0,5850.0,814.0,491.0,858.0,762.0,407.0,303.0,68.0,164.0,5995,4976,1019,24,45,100,5175.020542,35669.333,56
22,10406,10521,MD,24047951500,26.410999999999998,38.0392428,-75.590412,Atlantic General Hospital,38.339059999999996,-75.21172,46.99114393,1396,2018,"Census Tract 9515, Worcester County, Maryland",951500,24,47,24047951500,4495,1941,2554,39.6,888,4285.0,21.0,71.0,1893.0,0.0,0.0,2300.0,119.0,141.0,2186.0,21478.0,4337.0,842.0,417.0,609.0,406.0,513.0,205.0,70.0,218.0,4428,4157,271,24,47,951500,170.1942372,51733.437,70
