,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,State_x,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,39022,39387,IA,19045000100,0.755,41.8450624,-90.189533,Illinois,CGH Medical Center,-89.69689,41.80198,41.20715087759199 km,584,2018,"Census Tract 1, Clinton County, Iowa",100,19,45,19045000100,2655,1373,1282,43.0,405,2576.0,0.0,0.0,196.0,0.0,38.0,2342.0,79.0,125.0,2255.0,18438.0,2605.0,357.0,463.0,490.0,299.0,320.0,54.0,29.0,53.0,2621,2306,315,19,45,100,3516.5562909999994,46449.975000000006,56
1,39034,39400,IA,19045000200,4.005,41.81762,-90.1951137,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,38.89540227317387 km,588,2018,"Census Tract 2, Clinton County, Iowa",200,19,45,19045000200,1795,870,925,37.0,298,1773.0,0.0,5.0,45.0,0.0,0.0,1723.0,18.0,69.0,1667.0,25792.0,1697.0,224.0,145.0,233.0,272.0,202.0,146.0,0.0,58.0,1793,1731,62,19,45,200,448.18976280000004,50215.62299999999,65
2,39039,39405,IA,19045000700,7.506,41.885363299999995,-90.19619870000001,Illinois,CGH Medical Center,-89.69689,41.80198,42.490734931461816 km,577,2018,"Census Tract 7, Clinton County, Iowa",700,19,45,19045000700,3928,1811,2117,44.9,755,3817.0,19.0,0.0,69.0,0.0,62.0,3667.0,100.0,133.0,3596.0,26061.0,3803.0,494.0,331.0,569.0,246.0,377.0,257.0,200.0,370.0,3853,3719,134,19,45,700,523.3146816000001,46917.076,82
3,39042,39408,IA,19045000600,2.552,41.8630627,-90.1980365,Illinois,CGH Medical Center,-89.69689,41.80198,42.17822155998606 km,576,2018,"Census Tract 6, Clinton County, Iowa",600,19,45,19045000600,3560,1699,1861,46.2,762,3466.0,24.0,16.0,297.0,0.0,0.0,3129.0,72.0,123.0,3006.0,26510.0,3458.0,504.0,269.0,553.0,464.0,350.0,206.0,123.0,334.0,3494,3369,125,19,45,600,1394.984326,46204.856,69
4,39061,39427,IA,19045000300,0.917,41.836601,-90.2061,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,39.83065063422767 km,583,2018,"Census Tract 3, Clinton County, Iowa",300,19,45,19045000300,5228,2441,2787,34.6,562,5017.0,0.0,31.0,280.0,0.0,0.0,4706.0,148.0,210.0,4523.0,23580.0,5109.0,537.0,511.0,815.0,631.0,627.0,290.0,84.0,72.0,5228,4940,288,19,45,300,5701.1995640000005,49004.578,64
5,39128,39494,IA,19045000500,3.8689999999999998,41.8489817,-90.2311687,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,39.57823907796688 km,589,2018,"Census Tract 5, Clinton County, Iowa",500,19,45,19045000500,4819,2123,2696,41.2,1211,4467.0,93.0,116.0,217.0,0.0,14.0,4027.0,319.0,59.0,4001.0,26918.0,4485.0,792.0,232.0,680.0,510.0,625.0,295.0,125.0,396.0,4701,4506,195,19,45,500,1245.541484,48852.89,54
6,39269,39637,IA,19045000400,15.197000000000001,41.8292425,-90.2836532,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,35.252071162397314 km,590,2018,"Census Tract 4, Clinton County, Iowa",400,19,45,19045000400,3658,1723,1935,52.3,927,3598.0,0.0,44.0,136.0,0.0,0.0,3418.0,16.0,8.0,3410.0,31885.0,3561.0,558.0,197.0,387.0,442.0,499.0,380.0,143.0,311.0,3613,3470,143,19,45,400,240.70540240000003,48121.141,50
7,39367,39736,IA,19097950300,135.028,42.094243,-90.3324255,Illinois,Midwest Medical Center,-90.45729,42.449090000000005,40.73968753287268 km,541,2018,"Census Tract 9503, Jackson County, Iowa",950300,19,97,19097950300,3298,1738,1560,44.8,735,3209.0,5.0,5.0,1.0,0.0,0.0,3198.0,36.0,9.0,3193.0,30022.0,3229.0,298.0,302.0,443.0,305.0,426.0,290.0,100.0,242.0,3298,3232,66,19,97,950300,24.42456379,72871.25900000003,85
8,39372,39741,IA,19045000800,46.583999999999996,41.7825477,-90.3381482,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,28.43411204005421 km,575,2018,"Census Tract 8, Clinton County, Iowa",800,19,45,19045000800,5182,2886,2296,44.9,953,5001.0,0.0,4.0,5.0,0.0,0.0,4992.0,83.0,167.0,4825.0,29327.0,5038.0,606.0,275.0,780.0,554.0,589.0,489.0,163.0,410.0,5182,4989,193,19,45,800,111.23991070000001,34858.55599999999,45
9,39423,39793,IA,19045001200,240.43400000000003,41.950162799999994,-90.36336659999999,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,44.63530874816548 km,578,2018,"Census Tract 12, Clinton County, Iowa",1200,19,45,19045001200,3767,2020,1747,46.4,777,3690.0,13.0,43.0,8.0,0.0,0.0,3626.0,9.0,66.0,3562.0,35744.0,3675.0,322.0,228.0,322.0,412.0,477.0,360.0,113.0,412.0,3767,3639,128,19,45,1200,15.66750127,54165.75099999999,56
10,39490,39860,IA,19163010102,10.957,41.5853157,-90.40078879999999,Iowa,Trinity Medical Center,-90.51966999999999,41.565709999999996,10.15088811722996 km,207,2018,"Census Tract 101.02, Scott County, Iowa",10102,19,163,19163010102,7312,3594,3718,43.2,1100,7087.0,0.0,100.0,31.0,0.0,41.0,6915.0,106.0,42.0,6900.0,50637.0,7155.0,439.0,235.0,475.0,543.0,774.0,680.0,306.0,1534.0,7300,7199,101,19,163,10102,667.3359496,12005.812,34
