,Unnamed: 0,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_2,DISTANCE_ROAD,DISTANCE_TIME,USPS,THROMB,DISTANCE_ROAD_MILES
0,0,16,16,Children's Hospital of Georgia,13,33.472088,-81.98926999999998,Prisma Health Richland,34.02755,-81.03322,107.9006273,116077.13700000006,93,,,72.12716828016458
1,1,54,54,Dwaine and Cynthia Willett Children's Hospital of Savannah,13,32.032215,-81.091675,Trident Medical Center,32.97663,-80.07336,141.8639061,175508.68700000006,113,,,109.0563131470044
2,2,114,114,Beverly Knight Olson Children's Hospital,13,32.833076,-83.63632,Emory University Hospital,33.792320000000004,-84.32186,124.0724357,135481.39299999992,119,,,84.18444393353793
3,3,164,164,Children's Healthcare of Atlanta,13,33.82971,-84.32975,Grady Memorial Hospital,33.752320000000005,-84.38242,9.873081836,11275.317,34,,,7.006174580884089
4,0,199,199,The Barbara Bush Children's Hospital at Maine Medical Center,23,43.652256,-70.27507,Lahey Hospital & Medical Center,42.48512,-71.20485,150.1551253,163701.038,124,,,101.71936197447401
5,0,11,11,Beacon Children's Hospital,18,41.684013,-86.25052,Bronson Methodist Hospital,42.28493,-85.58083,86.8036617,103663.92700000004,102,,,64.41393801185582
6,1,19,19,Riley Hospital for Children at Indiana University Health,18,39.77726,-86.18137,St. Vincent Hospital and Health Care Services,39.909727,-86.195927,14.76070244,16532.404000000002,61,,,10.272785116880213
7,2,122,122,Peyton Manning Children's Hospital at St. Vincent,18,39.91203,-86.19653000000002,Indiana University Health Methodist Hospital,39.789885,-86.16374300000003,13.84919374,15230.908999999998,47,,,9.464071606994171
8,0,45,45,MUSC Children's Hospital,45,32.785675,-79.946686,Trident Medical Center,32.97663,-80.07336,24.2692399,26435.314,33,,,16.42618340437695
9,1,109,109,Prisma Health Children's Hospital-Upstate,45,34.821472,-82.41376,Mission Hospital,35.58034,-82.54991899999997,85.10016021,96410.03300000008,108,,,59.90656604570823
10,0,37,37,Arkansas Children's Hospital,5,34.74345,-92.291466,Methodist University Hospital,35.1364,-90.01928000000002,212.0980827,221543.66500000012,108,,,137.66119340847808
11,0,22,22,Duke Children's Hospital Health Center,37,36.008205,-78.93764499999997,University of North Carolina Hospitals,35.904412,-79.04904,15.28472356,18441.19,56,,,11.458852697379049
12,1,44,44,North Carolina Children's Hospital,37,35.903027,-79.05028,Duke University Hospital,36.00764,-78.93755,15.43257389,18217.057999999994,55,,,11.319583183168252
13,2,68,68,Cone Health Children's Services,37,36.091095,-79.788795,Wake Forest Baptist Medical Center,36.08932,-80.26876,43.22648096,46867.38499999999,80,,,29.122115277070098
14,3,106,106,Levine Children's Hospital,37,35.204636,-80.8384,Carolinas Medical Center,35.09197,-80.87116999999998,12.85127414,13917.476000000002,53,,,8.647940149378007
15,4,152,152,WakeMed Children's Hospital,37,35.78618200000001,-78.589,Rex Hospital,35.818506,-78.70428100000002,11.01999307,14427.606000000002,39,,,8.964921023525173
16,5,160,160,Novant Health Hemby Children's Hospital,37,35.212986,-80.825485,Carolinas Medical Center,35.09197,-80.87116999999998,14.05645276,14963.005,57,,,9.297603365354743
17,6,193,193,James and Connie Maynard Children's Hospital at Vidant Medical Center,37,35.6058,-77.40124,Duke Raleigh Hospital,35.82875,-78.61823000000003,112.8620557,123912.491,105,,,76.99584363776455
18,7,195,195,Betty H Cameron Womens Childrens Hospital,37,34.20638,-77.92425,Grand Strand Medical Center,33.75833,-78.81961,96.51355122,109433.42500000008,179,,,67.99894677321143
